100%;;;;;;;;;;;;;;
Sous-jacent;Type;Échéance;Achat;Vente;Cours du Sous-Jacent;Parité (ss-jacent/produit);Frais de gestion/an;Éligible PEA;Garantie de change;Dividendes;Perf 1 an;Mnémo;Isin;Dernière mise à jour
PLATINE;;23 jan. 15;105,60 € (c);106,50 € (c);1 482 $;1/1;0,5 %;Non;Non;-;+40,28 %;4973s;FR0010278051;08/02/2010 17:29:05
PLOMB;;29 déc. 10;18,36 € (c);18,51 € (c);1 942 $;0,9495/100;1 %;Non;Oui;-;+57,23 %;1961s;FR0010316463;08/02/2010 17:28:02
PLOMB;;Ouverte;13,94 € (c);14,09 € (c);1 942 $;0,9849/100;0,5 %;Non;Non;-;  ;7060s;FR0010820233;08/02/2010 17:28:02
PREMIUM LIST;;18 jan. 17;63,89 € (c);64,53 € (c);1 pts;1/1;1 %;Non;Non;-;+17,57 %;4130s;FR0010428268;08/02/2010 17:29:50
PRIVEX;;23 jan. 15;43,81 € (c);44,26 € (c);1,63 pts;1/10;1,25 %;Non;Non;-;+59,40 %;3116s;FR0010386060;08/02/2010 17:29:52
PURE VALUE;;4 juil. 11;787,58 € (c);793,95 € (c);1 pts;1/1;0,5 %;Non;Non;-;+25,83 %;2739s;XS0259617651;08/02/2010 17:29:54
REAL ESTATE AMERICAS;;Ouverte;12,41 € (c);12,53 € (c);126,65 pts;1/10;0,5 %;Non;Non;-;+34,16 %;1141s;FR0010482216;08/02/2010 17:28:47
REAL ESTATE ASIA/PAC;;Ouverte;11,00 € (c);11,11 € (c);112,29 pts;1/10;0,5 %;Non;Non;-;+32,87 %;1142s;FR0010482224;08/02/2010 17:18:31
REAL ESTATE EUROPE;;Ouverte;12,76 € (c);12,89 € (c);130,42 pts;1/10;0,5 %;Non;Non;-;+37,61 %;1140s;FR0010482182;08/02/2010 17:27:15
S&P 500;;Ouverte;104,66 € (c);104,96 € (c);1,63 pts;1/10;0,5 %;Non;Oui;-;+27,74 %;4614s;FR0010453241;08/02/2010 17:29:49
S&P GSCI AGRI;;23 jan. 15;51,95 € (c);52,35 € (c);54,67 pts;1/1;1 %;Non;Oui;-; 4,49 %;1963s;FR0010316497;08/02/2010 17:29:46
SGI Commodity index;;Ouverte;109,34 € (c);109,89 € (c);109,61 pts;1/1;0,7 %;Non;--;-;  ;7047s;FR0010819110;08/02/2010 17:29:31
SGI GLOBAL ENVIRONME;;Ouverte;65,13 € (c);65,79 € (c);673,01 pts;1/10;1 %;Non;--;-;+5,64 %;3095s;FR0010531616;08/02/2010 17:29:10
SGI GLOBAL NANOTECH;;Ouverte;55,73 € (c);56,29 € (c);78,52 pts;1/1;1 %;Non;Non;-;+37,16 %;2845s;FR0010525618;08/02/2010 17:29:41
SGI GLOBAL SECURITY;;Ouverte;85,75 € (c);86,62 € (c);87,03 pts;1/1;1 %;Non;--;-;+22,87 %;1461s;FR0010495127;08/02/2010 17:29:49
