Bonus Cappé;;;;;;;;;;;;;
Sous-jacent;Niveau bonus;Barrière;Constatation finale;Échéance;Parité (produit/ss-jacent);Achat;Vente;Cours du Sous-Jacent;Rendement max. potentiel *;Ecart/seuil **;Mnémo;Isin;Dernière mise à jour
DEXIA;6,85 €;3,41 €;5 mars 10;19 mars 10;1/1;6,61 € (c);6,66 € (c);4,23 €;2,85%; 19,39%;6768S;FR0010776765;08/02/2010 17:28:35
DJ EUROSTOXX 50;2 659,50 pts;1 692,40 pts;7 juin 10;21 juin 10;100/1;26,33 € (c);26,48 € (c);2 665 pts;0,43%; 36,50%;6787S;FR0010777011;08/02/2010 17:28:36
DJ EUROSTOXX 50;2 980 pts;1 912 pts;30 sept. 10;14 oct. 10;100/1;28,20 € (c);28,35 € (c);2 665 pts;5,11%; 28,26%;7012S;FR0010800813;08/02/2010 17:28:43
EADS;15,64 €;9,96 €;23 déc. 10;6 jan. 11;1/1;13,75 € (c);13,85 € (c);14,02 €;12,92%; 28,96%;7186S;FR0010845081;08/02/2010 17:26:45
EADS;16,94 €;10,35 €;30 sept. 10;18 oct. 10;1/1;15,14 € (c);15,24 € (c);14,02 €;11,15%; 26,18%;0285S;FR0010801563;08/02/2010 17:29:31
EDF;37,84 €;24,19 €;5 mars 10;19 mars 10;1/1;38,05 € (c);38,20 € (c);37,89 €;0,00%; 36,16%;6769S;FR0010776773;08/02/2010 17:25:00
EDF;40,81 €;25,79 €;30 sept. 10;18 oct. 10;1/1;39,76 € (c);39,91 € (c);37,89 €;2,26%; 31,93%;0286S;FR0010801571;08/02/2010 17:28:58
FRANCE TELECOM;17,80 €;11,38 €;30 juin 10;15 juil. 10;1/1;17,50 € (c);17,60 € (c);16,52 €;1,14%; 31,11%;6777S;FR0010776906;08/02/2010 17:28:10
FRANCE TELECOM;19,45 €;12,46 €;8 oct. 10;22 oct. 10;100/1;18,06 € (c);18,16 € (c);16,52 €;0,00%; 24,58%;7015S;FR0010800730;08/02/2010 17:28:43
Gdf Suez;33,21 €;20,77 €;30 sept. 10;18 oct. 10;1/1;30,41 € (c);30,56 € (c);26,48 €;8,67%; 21,56%;0287S;FR0010801589;08/02/2010 17:29:47
