Warrants Actions;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
ACCOR  34,56 €;;;;;;;;;;
Put;2 €;18 juin 10;0,08 € (c);0,09 € (c);2/1; 25,5 %;3,54;0633S;FR0010836270;08/02/2010 16:57:52
Call;3 €;17 sept. 10;0,09 € (c);0,10 € (c);2/1;33,9 %;4,22;0634S;FR0010836288;08/02/2010 16:57:52
Call;3,50 €;17 sept. 10;0,05 € (c);0,06 € (c);2/1;19,4 %;4,10;0635S;FR0010836296;08/02/2010 14:35:29
Call;4 €;17 sept. 10;0,02 € (c);0,04 € (c);2/1;12,8 %;5,10;0073S;FR0010796581;08/02/2010 11:07:07
Call;3,50 €;17 déc. 10;0,08 € (c);0,09 € (c);2/1;26,4 %;3,62;0776S;FR0010837708;08/02/2010 15:59:56
Call;4 €;17 déc. 10;0,05 € (c);0,06 € (c);2/1;17,1 %;3,62;0074S;FR0010796599;08/02/2010 15:53:02
Call;6 €;17 déc. 10;0,01 € (c);0,03 € (c);2/1;3,9 %;2,34;0551S;FR0010818153;08/02/2010 09:01:48
Call;7 €;17 déc. 10;--;--;2/1;--;--;8705S;FR0010642892;30/10/2009 09:05:41
Call;8 €;17 déc. 10;--;--;2/1;--;--;3279S;FR0010594549;30/12/2009 13:07:53
Call;4 €;18 mars 11;0,08 € (c);0,09 € (c);2/1;23,4 %;3,20;0636S;FR0010836304;08/02/2010 15:53:02
Call;7 €;18 mars 11;--;--;2/1;--;--;8706S;FR0010642900;27/01/2010 09:03:49
Call;3,50 €;16 mars 12;0,18 € (c);0,19 € (c);2/1;41,8 %;2,65;9955S;FR0010723544;08/02/2010 16:43:41
Call;5 €;16 mars 12;0,08 € (c);0,09 € (c);2/1;22,2 %;3,06;9302S;FR0010676841;08/02/2010 16:06:37
Call;8 €;16 mars 12;0,02 € (c);0,04 € (c);2/1;5,4 %;2,17;3282S;FR0010594564;08/02/2010 09:01:57
Call;10 €;16 mars 12;0,01 € (c);0,03 € (c);2/1;3,1 %;1,85;2823S;FR0010522508;08/02/2010 09:01:51
Call;15 €;16 mars 12;--;--;4/1;--;--;2019S;FR0010508812;26/10/2009 17:04:54
Call;20 €;16 mars 12;--;--;4/1;--;--;4231S;FR0010441477;30/12/2009 13:07:53
Call;24 €;16 mars 12;--;--;4/1;--;--;3761S;FR0010420687;30/12/2009 13:07:53
Call;6 €;15 mars 13;0,24 € (c);0,25 € (c);1/1;23,9 %;2,28;0900S;FR0010851030;08/02/2010 15:59:56
Call;7 €;15 mars 13;0,17 € (c);0,18 € (c);1/1;18,2 %;2,43;0901S;FR0010851048;08/02/2010 16:06:37
Call;8 €;15 mars 13;0,13 € (c);0,14 € (c);1/1;14,3 %;2,48;0902S;FR0010851055;08/02/2010 16:43:41
Call;10 €;15 mars 13;0,02 € (c);0,04 € (c);2/1;7,6 %;3,07;9054S;FR0010659169;08/02/2010 09:01:57
Call;7 €;21 mars 14;0,15 € (c);0,16 € (c);2/1;27,9 %;2,12;0777S;FR0010837716;08/02/2010 17:13:42
;;;;;;;;;;
ALSTOM  46,69 €;;;;;;;;;;
Call;50 €;19 mars 10;0,12 € (c);0,13 € (c);10/1;30,6 %;11,41;0637S;FR0010836312;08/02/2010 17:18:55
Call;55 €;19 mars 10;0,02 € (c);0,04 € (c);10/1;7,5 %;11,54;6674S;FR0010773879;08/02/2010 15:58:45
Call;60 €;19 mars 10;0,01 € (c);0,03 € (c);10/1;1,2 %;2,71;0778S;FR0010837724;08/02/2010 09:04:45
Call;65 €;19 mars 10;0,01 € (c);0,03 € (c);10/1;0,1 %;0,23;9957S;FR0010723569;08/02/2010 09:04:45
Call;75 €;19 mars 10;--;--;10/1;--;--;9604S;FR0010694372;27/01/2010 09:03:50
